canonical_swimmer,event,course,best_time,date,meet,venue,source,source_url
"SIMEONOV, Jack Hristov","200m Freestyle","LCM","2:33.13","2025-05-10","World School Swimming Championships","London","manual","https://www.swimcloud.com/swimmer/3171045/"
"SIMEONOV, Jack Hristov","50m Backstroke","SCM","34.87","2025-05-10","World School Swimming Championships","London","manual","https://www.swimcloud.com/swimmer/3171045/"
"SIMEONOV, Jack Hristov","100m Backstroke","LCM","1:17.18","2025-05-10","World School Swimming Championships","London","manual","https://www.swimcloud.com/swimmer/3171045/"
"SIMEONOV, Jack Hristov","50m Butterfly","SCM","34.33","2025-05-10","World School Swimming Championships","London","manual","https://www.swimcloud.com/swimmer/3171045/"
"SIMEONOV, Jack Hristov","100m Freestyle","SCM","1:07.39","2025-12-05","Bulgarian Winter Nationals","","manual","https://www.swimcloud.com/swimmer/2335652/"
"SIMEONOV, Jack Hristov","50m Backstroke","SCM","33.04","2025-12-05","Bulgarian Winter Nationals","","manual","https://www.swimcloud.com/swimmer/2335652/"
"SIMEONOV, Jack Hristov","100m Backstroke","SCM","1:12.42","2025-12-05","Bulgarian Winter Nationals","","manual","https://www.swimcloud.com/swimmer/2335652/"
"SIMEONOV, Jack Hristov","200m Backstroke","SCM","2:34.85","2025-12-05","Bulgarian Winter Nationals","","manual","https://www.swimcloud.com/swimmer/2335652/"
"SIMEONOV, Jack Hristov","50m Butterfly","SCM","34.19","2025-12-05","Bulgarian Winter Nationals","","manual","https://www.swimcloud.com/swimmer/2335652/"
